,time,id,like,comment
0,2020-02-18,阿里巴巴,28593,你这个整活强度太高了！我都顶不住了
1,2020-02-17,北城丶墨白,14371,在？把我钉钉账号封了？
2,2020-02-17,薛定谔的二向箔喵,12896,十万粉丝了 你的女装呢
4,2020-02-17,骷哈髅,10582,钉钉，你来当阿婆主吧，我们三连养你
3,2020-02-17,重庆大学,8829,元首也躺在床上刷钉钉网课直播吗）
5,2020-02-17,哈尔滨工程大学,6976,文艺复兴了
6,2020-02-17,最铁的分卫,5697,想不出什么骚话 就祝各位网课掉线吧
7,2020-02-17,学习通APP,4944,这是德军讨论视频删减的片段，由于片段太过令人感动，所以作者索性删除了，今天能在B站看到，太欣慰了
10,2020-02-17,苏不埃,4443,"想不出骚话整个活吧
★☆☆☆☆
★☆☆☆☆
★☆☆☆☆
★☆☆☆☆
★☆☆☆☆"
8,2020-02-17,佰无一用是书生,2370,能添加个刷火箭🚀的功能嘛 我想混个班长当当
9,2020-02-17,二次元的中科院历史所,2080,暗示复工也要用钉钉
11,2020-02-17,岚山冷,1820,钉钉的运营情商属实高，必须给五星！（其实是我不用）
12,2020-02-17,南昃,1769,"看再你叫我爸爸的份上，下载软件——五星评论——删除软件——清理内存
一条龙服务"
13,2020-02-17,改了名就不中奖的屑某,1243,官方能回我吗qwq，我想体验一下被钉钉官方回复的感觉，我最近在钉钉上课太开心啦，回复我一定五星好评一次付清
15,2020-02-17,cr口我,1096,"关于钉钉。
疫情之前：
听说之后：
看见别人开始网课：
查看各大商城评论：
知到自己要用：
几天后："
16,2020-02-17,Kow_Hum,924,"我从来没有来一⭐收拾
一⭐都是些不好好学习的孩子的报复
⭐我都点5个也都不分期
给你真正的关爱
钉钉啊，你要相信自己
钉钉啊，你不要放弃
当然你可能不知道藏头诗"
14,2020-02-17,人活着就是为了我老婆,815,在？加个未成年防沉迷
17,2020-02-18,大连理工大学盘锦校区,670,刚来B站，这就是B站鬼畜区嘛，爱了爱了
18,2020-02-17,生尤可恋,532,"我们要老实说；埋葬钉钉那样的app，是一件大快人心的事。我们从墓园回去的时候，露出忧郁和谦虚的脸相；谁也不肯露出快活的感情。——像那样的感情，我们很久很久以前做小孩子的时候，遇到大人不在家，我们到花园里去跑一两个钟头，享受完全自由的时候，才经历过。

我们高高兴兴地从墓园回家。可是一个天还没有过完，生活又恢复旧样子，跟先前一样郁闷、忙了、要打卡了。局面并没有好一点。实在，虽然我们埋葬了钉钉，可是这种用来上网课的app，还有许多，将来也还不知道有多少呢！"
20,2020-02-18,重庆大学团委,429,再整个用钉钉上课的第一天？
19,2020-02-17,灯光下的华尔兹,405,元首：其实我t喵的也没口罩，不然干吗留你们几个有口罩的下来骂，暗示的这么明显了，送我几个都不会么
21,2020-02-18,凤气昭仪公司官方账号,310,在吗，把五星点上了，钉钉办公电话免费时限加一个月咋样？
22,2020-02-18,AutoFull傲风电竞椅,264,恰自己的饭，让别人无饭可恰 （这涨粉速度我酸了
24,2020-02-17,寒鸦飞尽鼬独尊,212,钉钉为了哄各位开心已经开始进军鬼畜界了，不说了，我这就去分期五星
31,2020-02-18,活翼天歌,202,"1.钉钉是收费的，这次疫情阿里免费提供
2.钉钉属于办公软件，所以连麦接通打开摄像头很正常，
3.不愿意学习就别装模作样，真的不舒服就和老师说，恶意一星只能暴露你的素质低.
4.比较老师也没有专业的器具也没怎么直播过很正常.
5.你们不想用钉钉，我们想学的要用。
6.不服的来喷我，
（最讨厌那种老师直播的时候有人起哄说刷火箭的，一点都不好笑只会觉得没有素质。其实钉钉对于初3高三的那些人最为需要。）"
23,2020-02-17,拉格朗日中值钱,196,"昨天还笑着看钉钉的鬼畜的我
今天就得知要用腾讯课堂上课
不说了我去五星好评了"
30,2020-02-17,bili_348043557,195,我建议大家理智一点，软件他没有错，而且大家本来就上学了，还有大家想一想，你上完网课你还可以玩一下手机，你在学校可以吗？所以大家就知足吧，况且钉钉这个软件我认为挺好的，不要不理智的去打一星，想想别人要工作和工资，辛辛苦苦的把这个软件做出来，阿里巴巴还是很出色的。建议大家要理智
25,2020-02-17,是雨倾鸭,132,钉钉真是扎根于广大B站群众生活的好平台，评分五星一点也不过分！（五毛一条，括号删掉）
26,2020-02-18,半花夕落,128,错的不是钉钉这个软件，而是让我们补课的学校和补课班，大家只是把锅甩给了钉钉这个软件，他本身没什么错，没有钉钉这个软件老师也会找其它软件上课的，我也不喜欢上课，但是我们要理性一点看待钉钉，软件设计初衷是好的（我不是水军，乃个人想法，不喜勿喷哦）
27,2020-02-17,LowShadow丶,110,"★☆☆☆☆
★☆☆☆☆
★☆☆☆☆
★☆☆☆☆
★★☆☆☆                   手滑了当利息吧"
28,2020-02-18,成都理工大学本科招生,73,复工大吉 少近身沟通 少聚集开会 少传阅文件（此条五毛 括号删掉）
29,2020-02-17,黑色禁煜,73,生活不易，钉钉叹气
32,2020-02-18,骑着火车赶乌龟,62,"这样说吧，现在有很多小学生初中生高中生等一些不喜欢上学的人在骂钉钉，你去打个五星就很很多人把你家人侮辱一遍的都有，我都是去评论下面看了的，特别是360的应用商店你们去看了就知道特别的恶心已经不能来用发泄来形容了！而且在说了现在本来就是上学时期了！但是因为病毒的影响你们是假期延长了而已。但是一些人还是说作业没写完不能上这个网课没有时间，我就纳闷了！按时间规定你也应该写完了。学生是什么？学生就是上课的，上课就是你们任务，而且一个月的假期虽然有作业但是不至于把你累死，因为你们以前没有爆发疫情的时候还是这个时间段上的学交的作业，只不过现在不同了是在手机上而已！最后我也说几句实话，我也是一名高一的学生，在读职高当我听到我们也要上网课的时候说实话我也不想上，但是我又转念一想现在的我必须把技术学好以后才能养家糊口，因为这是我的出路我只能这样。而你们我不知道以后会有什么样的本领，但我知道每一个人的路不一样，你可能是读书读出来的，他也有可能是学技术学出来的，而你们还处于什么阶段？处于一个必须学习打好基础的阶段，而不是在网上肆意的谩骂一个APP来发泄自己的不满情绪，但是中规中矩你发泄可以，但是不要过头了，有时候过头了那你的人生估计也废了！
ps：我的口才和语言表达能力很不好，但是也请那些骂这个app的人控制一下言论，要不然估计一大批的小学生要被带坏。所以要我们这些大哥哥大姐姐来带头作用而不是带一个坏头！"
33,2020-02-18,一碗凉面多放辣,34,钉钉发现做软件是有极限的 所以大喊一声 我不做软件了 从此成为了鬼畜区大up
34,2020-02-17,冬泳怪尸,31,熬夜在b站首页上刷到钉钉的集个合好吗（明天还要上课的早点睡）
35,2020-02-20,东坡林的王守仁,28,感觉钉钉好可怜啊……为了营生被迫改行进入了鬼畜区。我上一次见到钉钉的广告还是在电梯里，做商务办公软件的宣传。没成想几日不见便成为了资深鬼畜人……诶……钉钉都做到这个份上了，已经很不容易了……而且最早钉钉设计出来又不是为了给学生上网课用的，恶意刷低钉钉评价这种行为无异于说你点了一份外卖，觉得很难吃于是转手给了外卖员一个差评。所以希望那些恶意刷分的朋友们可以保存理性，并给予钉钉正确的评价。
36,2020-02-17,寒沐与铭智,25,元首:我从河北省来你是让小子给我发我视频的？
37,2020-02-17,オーリキュース,23,虽然我不用，但为了我的老同学，四部设备（两手机，一平板，一pc）共打了四星好评，快夸夸我
39,2020-02-18,我牛很好,20,我建议大家理智一点，软件他没有错，而且大家本来就上学了，还有大家想一想，你上完网课你还可以玩一下手机，你在学校可以吗？所以大家就知足吧，况且钉钉这个软件我认为挺好的，不要不理智的去打五星，想想别人要工作和工资，辛辛苦苦的把这个软件做出来，阿里巴巴还是很出色的。建议大家要理智
40,2020-02-17,警察滴滴,20,"2020年1月底蝙蝠精为祸人间，各业遭受打击
，人民只得委居家中
2月初为祸工商业无产阶级人民多年的燕子精又名“钉钉”，工人阶级多年抗战无果，后教育砖家发现其对教育业蝙蝠精造成的危害具有以毒攻毒的疗效，投入减灾
二月10日“钉钉”已经投放到全国的蝙蝠精灾害减灾使用中，燕子精抗战从大龄工人蔓延至低龄学生，抗战由局部抗战延伸至全国抗战
二月十六日“钉钉”于b站发布投降声明，此次抗战显示学生阶级力量之大"
38,2020-02-17,想知道就自己猜,17,可怜了你啊钉钉
41,2020-02-17,没错你屏幕上有根毛,17,我刚给钉钉评完五星，而且不是分期付款，是AA制，我叫了4个同学，搭上我，五个人，每人打一星，就是五星了
43,2020-02-17,真空中的球形北极熊,16,你哪来那么多技术人才的，招工吗
46,2020-02-18,林一小可吖,14,有赞我把钉钉卸了
47,2020-02-17,Eason-杨,14,猝死党的胜禾
